,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
自動,,,,,手動,自動,手動,手動,手動,手動,手動,自動,shopee,自動
SKU,Order no.,仕入れ日,仕入れ先,仕入れ金額（送料込）,品目,商品名,付属品,状態,備考,写真,出品日,販売日,販売先,販売金額
20260312_machida_ph_02,260409CG281WD2,2026/4/10,メルカリ,"¥6,380 ",プラモデル,RG 1/144 Blast Impulse Gundam SpecII,,新品,,Amazon Photos,2026/03/12,2026/4/9,shopee,"₱3,818.00"
20260316_ishida_ph_01,260409CMPGHQ7A,2026/4/10,Amazon,"¥5,800 ",フィギュア,Nendoroid Character Vocal Series 03 Megurine Luka Megurine Luka 2.0 Non-Scale Plastic Painted Action Figure,,新品,,Amazon Photos,2026/03/16,2026/4/9,shopee,"₱3,007.00"
20260325_machida_ph_01_4,260409D1BWB6VV,2026/4/10,Joshin,"¥8,800 ",ラジコン,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],,新品,,Amazon Photos,2026/03/25,2026/4/10,shopee,"₱5,610.00"
20260325_machida_ph_01_5,260410EJ8N20FQ,2026/4/10,Amazon,"¥8,800 ",ラジコン,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],,新品,,Amazon Photos,2026/03/25,2026/4/10,shopee,"₱5,610.00"
20260323_machida_ph_01,260411GF9BQ95D,2026/4/13,楽天市場（Toy&ZAKKA mimiy）,"¥13,547 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.662 Comical Grasshopper (WR-02CB Chassis) Off-Road 58662 【Direct from Japan】,,新品,,Amazon Photos,2026/03/23,2026/4/11,shopee,"₱7,810.00"
20260318_machida_ph_03,260411GYVYDNY9,2026/4/13,Amazon,"¥9,800 ",,TAMIYA 1/10 Electric R/C Car Series No.570 Lancia Delta Integrale (TT-02 Chassis) Onroad 58570,,新品,,Amazon Photos,,2026/4/11,shopee,"₱5,792.00"
20260320_machida_ph_01_2,260411H0DGP0TD,,,仕入れ無,,TAMIYA 1/12 Electric RC Car Series No. 547 Midnight Pumpkin Black Edition 58547,,新品,,Amazon Photos,,2026/4/11,shopee,"₱6,549.00"
20260409_machida_ph_01,260411HMFJMCEX,2026/4/13,Joshin,"¥8,800 ",ラジコン,[Direct From Japan] 1/12 Scale Electric RC Assembly Kit: Midnight Pumpkin Metallic Special,,新品,,Amazon Photos,2026/04/09,2026/4/11,shopee,"₱5,638.00"
20260318_machida_ph_01_3,260411J0WJXVRG,2026/4/13,Amazon,"¥10,300 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],,新品,,Amazon Photos,2026/03/18,2026/4/12,shopee,"₱6,441.00"
20260213_koyanagi_09,260412M1BUBG7P,2026/4/13,メルカリ,"¥1,898 ",,Nintendo Gameboy Advance Pokémon Ruby Japanese No Package,,中古,キャンセル,Amazon Photos,2026/02/13,2026/4/12,shopee,SGD21.97
