,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
自動,,,,,手動,自動,手動,手動,手動,手動,手動,自動,shopee,自動
SKU,Order no.,仕入れ日,仕入れ先,仕入れ金額（送料込）,品目,商品名,付属品,状態,備考,写真,出品日,販売日,販売先,販売金額
20260420_mizushima_ph_09_3,260525BC8F0NBV,,,仕入れ無,,[Gundam Base / Event Exclusive] MG 1/100 Wing Gundam Zero EW [CROSS CONTRAST COLORS / CLEAR PURPLE] Plastic Model Kit (Bandai Spirits),,新品,,Amazon Photos,2026/04/20,2026/5/25,shopee,"₱6,211.00"
20260504_ishida_ph_02_2,260525BK7M5M21,2026/5/26,Amazon,¥878 ,,[Bandai] JAPAN GODZILLA(2023) Mount Fuji,,新品,,Amazon Photos,2026/05/04,2026/5/25,shopee,₱624.00
20260123_machida_ph_04_7,260525BV81SU7R,2026/5/26,洛西モデル,"¥10,367 ",,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,,新品,,Amazon Photos,2026/01/23,2026/5/25,shopee,"₱7,234.00"
20260323_machida_ph_02＿2,260525BY81JV6R,2026/5/26,Amazon,"¥17,400 ",,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 618 Monster Beetle 2015 Off-Road 58618,,新品,,Amazon Photos,2026/03/23,2026/5/25,shopee,"₱10,648.00"
20260325_machida_ph_02,260525C175EV44,2026/5/26,Amazon,"¥17,172 ",,Tamiya 1/10 Electric RC Car Series No.502 Blitzer Beetle (2011) Off-Road 58502【Direct from Japan】,,新品,,Amazon Photos,2026/03/25,2026/5/25,shopee,"₱10,154.00"
20260429_miyawaki_ph_01_2,260525C3APJ64Q,2026/5/26,メルカリ,"¥5,000 ",,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Prize D: Koenma MASTERLISE Figure,,新品,,Amazon Photos,2026/04/29,2026/5/25,shopee,"₱3,917.00"
20260415_miyawaki_ph_03_15,260526CM0U6Y5A,2026/5/26,yahooフリマ,"¥6,180 ",,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/5/26,shopee,"₱4,258.00"
20260416_machida_ph_13,260526CW1FJUWM,2026/5/26,楽天市場（天天ストア）,"¥4,980 ",,[Direct From Japan] Takara Tomy (TAKARA TOMY) Beyblade X BX-48 Random Booster Vol. 9,,新品,,Amazon Photos,2026/04/16,2026/5/26,shopee,"₱1,202.00"
20260320_machida_ph_01_2,260526D659VPYR,2026/5/26,洛西モデル,"¥10,947 ",,TAMIYA 1/12 Electric RC Car Series No. 547 Midnight Pumpkin Black Edition 58547,,新品,,Amazon Photos,2026/03/20,2026/5/26,shopee,"₱5,894.00"
20260402_miyawaki_ph_01_6,260526DC5UNKQX,2026/5/26,メルカリ,"¥3,200 ",,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZE Prize C Figure,,新品,,Amazon Photos,2026/04/02,2026/5/26,shopee,"₱2,480.00"
20260424_machida_ph_01,260526DJAG0SPH,2026/5/26,Amazon,"¥4,306 ",,[Direct From Japan] [2026 Model] Takara Tomy Plarail: Connect and Have Fun! Plarail Best Selection Set – Trains and Trainsets – Toy – Ages 3+,,新品,,Amazon Photos,2026/04/24,2026/5/26,shopee,"₱3,086.00"
20260410_miyawaki_ph_01_14,260526DK1WHTH6,2026/5/26,yahooフリマ,"¥7,500 ",,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,,新品,,Amazon Photos,2026/04/10,2026/5/26,shopee,"₱4,489.00"
20260306_machida_ph_04_3,260526DMY88DHA,2026/5/26,Joshin（A）,"¥24,800 ",,Tamiya RC Special Product 1/10 Electric RC Car Super Astute 2018 Off-Road 47381,,新品,,Amazon Photos,2026/03/06,2026/5/26,shopee,"₱11,850.00"
20260417_miyawaki_ph_02_2,260526DQ4Q933Y,2026/5/26,メルカリ,"¥4,500 ",,Ichiban Kuji Yu Yu Hakusho Dark Tournament Prize B Yusuke Urameshi MASTERLISE Figure,,新品,,Amazon Photos,2026/04/17,2026/5/26,shopee,"₱3,742.00"
20260429_miyawaki_ph_02_2,260526DQ4Q933Y,2026/5/26,yahooフリマ,"¥5,200 ",,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Prize E Genkai MASTERLISE EMOVING Figure,,新品,,Amazon Photos,2026/04/29,2026/5/26,shopee,"₱3,759.00"
20260316_machida_ph_03_3,260526DUM3BUBA,2026/5/27,Amazon,"¥7,480 ",,Bandai (Bandai) RG 1/144 GUNDAM SIDE-F Limited RX-93FF ν Gundam Mobile Suit Gundam Counterattack Char,,新品,,Amazon Photos,2026/03/16,2026/5/26,shopee,"₱4,394.00"
20260415_miyawaki_ph_03_16,260526EH50FPUK,,,仕入れ無,,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/5/26,shopee,"₱4,258.00"
20260415_miyawaki_ph_03_16,260526EHKC4V2T,2026/5/27,yahooフリマ,"¥6,200 ",,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/5/26,shopee,"₱4,258.00"
20260526_miyawaki_ph_01,260527F5M45PRT,2026/5/27,メルカリ,"¥7,777 ",,Ichiban Kuji HUNTER×HUNTER ZAOLDYECK FAMILY Prize B Zeno Zaoldyeck MASTERLISE Figure,,新品,,Amazon Photos,2026/05/26,2026/5/27,shopee,"₱5,117.00"
20260422_ishida_ph_04_2,260527G49U67BH,2026/5/27,Amazon,¥710 ,,[BANDAI]GODZIBURST Godzilla(1991),,新品,,Amazon Photos,2026/04/22,2026/5/27,shopee,₱506.00
20260306_machida_ph_04_4,260527GAX0C3A0,2026/5/27,Amazon,"¥30,622 ",,Tamiya RC Special Product 1/10 Electric RC Car Super Astute 2018 Off-Road 47381,,新品,,Amazon Photos,2026/03/06,2026/5/27,shopee,"₱11,850.00"
20260424_ishida_ph_03_2,260527GFCGT8FP,,,仕入れ無,,[Direct From Japan]YAMAHA Portable Speaker WS-B1A(B): Bluetooth / Compact / IP67-rated dust and water resistance / Ideal for wet areas and outdoor use / Clear Voice / Black,,新品,,Amazon Photos,2026/04/24,2026/5/27,shopee,"₱6,126.00"
20260420_mizushima_ph_09_3,260527GFQA330K,,,仕入れ無,,[Gundam Base / Event Exclusive] MG 1/100 Wing Gundam Zero EW [CROSS CONTRAST COLORS / CLEAR PURPLE] Plastic Model Kit (Bandai Spirits),,新品,,Amazon Photos,2026/04/20,2026/5/27,shopee,"₱6,211.00"
20260415_miyawaki_ph_03_17,260527GQH3RAS1,,,仕入れ無,,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/5/27,shopee,"₱4,258.00"
20260420_mizushima_ph_07_3,260527GWQN4QY1,2026/5/28,駿河屋,"¥10,811 ",,[Gundam Base/Event Exclusive] MG 1/100 Sazabi Ver.Ka Mechanical Clear Model Kit from Mobile Suit Gundam: Char's Counterattack (Bandai Spirits),,新品,,Amazon Photos,2026/04/20,2026/5/27,shopee,"₱7,618.00"
20260417_miyawaki_ph_04_15,260527H8KGCR0K,2026/5/28,yahooフリマ,"¥11,300 ",,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,2026/04/17,2026/5/27,shopee,"₱8,673.00"
20260123_machida_ph_04_8,260528HD6A8CJ6,,,仕入れ無,,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,,新品,,Amazon Photos,2026/01/23,2026/5/28,shopee,"₱6,510.00"
20260323_machida_ph_01_4,260528HECC2WJP,,,仕入れ無,,Tamiya 1/10 Electric RC Car Series No.662 Comical Grasshopper (WR-02CB Chassis) Off-Road 58662 【Direct from Japan】,,新品,,Amazon Photos,2026/03/23,2026/5/28,shopee,"₱7,034.00"
20260219_machida_ph_02,260528HGHQ7PN2,2026/5/28,Amazon,"¥13,568 ",,RANGS Japan Rip Surf Skateboard,,新品,,Amazon Photos,2026/02/19,2026/5/28,shopee,"₱5,304.00"
20260430_ishida_ph_05,260528J9E83T99,2026/5/28,Amazon,"¥2,382 ",,[BANDAI] Movie Monster Series: Godzilla (1971),,新品,,Amazon Photos,2026/04/30,2026/5/28,shopee,"₱1,360.00"
20260415_miyawaki_ph_03_17,260528JGPBBRE6,2026/5/28,メルカリ,"¥6,200 ",,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/5/28,shopee,"₱4,258.00"
20260415_miyawaki_ph_03_18,260528KBS8RJBC,2026/5/29,yahooフリマ,"¥6,300 ",,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/5/28,shopee,"₱4,258.00"
20260318_machida_ph_01_7,260528KKFVD0HJ,2026/5/29,Amazon,"¥10,561 ",,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],,新品,,Amazon Photos,2026/03/18,2026/5/28,shopee,"₱5,875.00"
20260522_miyawaki_ph_04,260529M3RF5QQT,2026/5/29,メルカリ,"¥9,000 ",,Ichiban Kuji BLEACH Stirring Souls vol.4 Prize C: Aizen Sousuke MASTERLISE Figure,,新品,,Amazon Photos,2026/05/22,2026/5/29,shopee,"₱6,141.00"
20260525_miyawaki_ph_01,260529M5PHQX3F,2026/5/29,メルカリ,"¥11,400 ",,Ichiban Kuji HUNTER×HUNTER ZAOLDYECK FAMILY Prize D Killua Zaoldyeck MASTERLISE Figure,,新品,,Amazon Photos,2026/05/25,2026/5/29,shopee,"₱7,853.00"
20260306_machida_ph_06_2,260529MMSE3K5J,2026/5/29,yahooフリマ,"¥8,650 ",,Gundam Base Limited Sengoku Astray Gundam,,新品,,Amazon Photos,2026/03/06,2026/5/29,shopee,"₱5,218.00"
20260224_machida_ph_07_2,260529N65R9AUQ,2026/5/29,Amazon,"¥14,080 ",,"Seiko Wall Clock, Analog Cuckoo Clock, Triple Selection Melody, Brown Metallic, 39x39x9.6cm, RE601B",,新品,,Amazon Photos,2026/02/24,2026/5/29,shopee,"₱8,491.00"
20260522_miyawaki_ph_02_2,260529NCJE4WKN,2026/5/26,,"¥5,937 ",,Ichiban Kuji BLEACH Stirring Souls vol.4 Prize A: Toshiro Hitsugaya MASTERLISE Figure,,新品,,Amazon Photos,2026/05/22,2026/5/29,shopee,"₱4,597.00"
20260512_mizushima_ph_02_3,260529NR3M8FF4,2026/6/1,Amazon,"¥3,199 ",,[Gundam Base Exclusive] HG 1/144 G-Self (Perfect Pack Equipped) (Gundam Reconguista in G Movie Version) [Bandai Spirits],,新品,,Amazon Photos,2026/05/15,2026/5/29,shopee,"₱2,370.00"
20260522_miyawaki_ph_05,260530QC052G0A,2026/6/1,メルカリ,"¥21,000 ",,Ichiban Kuji BLEACH Stirring Souls vol.4 Last One Prize: Urahara Kisuke MASTERLISE Figure,,新品,,Amazon Photos,2026/05/22,2026/5/30,shopee,"₱12,542.00"
20260515_mizushima_ph_02,260530QPP6ENFD,2026/6/1,Amazon,"¥2,350 ",,[Gundam Base Exclusive] Haropla Mobile Haro Gundam Base Color【Bandai Spirits】,,新品,,Amazon Photos,2026/05/15,2026/5/30,shopee,"₱1,934.00"
20260515_mizushima_ph_10,260530QPP6ENFD,2026/6/1,Amazon,"¥2,231 ",,[Gundam Base Exclusive] Haropla Haro [Painting Model] Clear & White Gundam Build Divers [Bandai Spirits],,新品,,Amazon Photos,2026/05/15,2026/5/30,shopee,"₱1,778.00"
20260430_machida_ph_12,260530RFCE2BN4,2026/6/1,メルカリ,"¥6,850 ",,[Direct From Japan] Barbie Basic Ponytail Signature BLACK Dress-up Dolls & Houses Barbie Dolls Ages 6+ JBH73,,新品,,Amazon Photos,2026/04/30,2026/5/30,shopee,"₱2,111.00"
20260417_miyawaki_ph_04_16,260531S8SYDRDG,2026/6/1,メルカリ,"¥11,800 ",,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,2026/04/17,2026/5/31,shopee,"₱8,673.00"
20260423_machida_ph_05_2,260531TJXH8RDX,2026/6/1,洛西モデル,"¥21,428 ",,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 391 Hot Shot 2007 Off-Road 58391,,新品,,Amazon Photos,2026/04/23,2026/5/31,shopee,"₱12,182.00"
20260420_mizushima_ph_07_4,2606010033DJ6K,,,仕入れ無,,[Gundam Base/Event Exclusive] MG 1/100 Sazabi Ver.Ka Mechanical Clear Model Kit from Mobile Suit Gundam: Char's Counterattack (Bandai Spirits),,新品,,Amazon Photos,2026/04/20,2026/6/1,shopee,"₱7,469.00"
20260123_machida_ph_04_9,26060107UYH3VA,,,仕入れ無,,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,,新品,,Amazon Photos,2026/01/23,2026/6/1,shopee,"₱7,375.00"
20260522_miyawaki_ph_02_2,2606020VQ6DB1B,,,仕入れ無,,Ichiban Kuji BLEACH Stirring Souls vol.4 Prize A: Toshiro Hitsugaya MASTERLISE Figure,,新品,,Amazon Photos,2026/05/22,2026/6/2,shopee,"₱4,597.00"
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,shopee,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,Amazon Photos,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,#REF!
,,,,,,,,,,,,,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,#REF!
,,,,,,,,,,,,#REF!,,
,,,,,,,,,,,,#REF!,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,
